,FSTEMIB,CAC 40,DAX,SP 500,IBEX,SX5E
2009-02-18,16580.0,2874.070068,4204.959961,788.419983,7861.399901999999,2118.469971
2009-02-19,16501.0,2872.600098,4215.209961,778.9400019999999,7875.899901999999,2114.840088
2009-02-20,15530.0,2750.550049,4014.6599119999996,770.049988,7603.600098000001,2011.680054
2009-02-23,15391.0,2727.8701170000004,3936.4499509999996,743.330017,7540.399901999999,1991.630005
2009-02-24,15436.0,2708.050049,3895.75,773.1400150000001,7483.399901999999,1977.5
2009-02-25,15218.0,2696.919922,3846.209961,764.900024,7512.100098000001,1965.2600100000002
2009-02-26,15664.0,2744.840088,3942.6201170000004,752.830017,7811.700195,2021.140015
2009-02-27,15282.0,2702.47998,3843.73999,735.090027,7620.899901999999,1976.22998
2009-03-02,14362.0,2581.459961,3710.070068,700.820007,7270.5,1882.790039
2009-03-03,14017.0,2554.550049,3690.719971,696.330017,7219.399901999999,1864.72998
2009-03-04,14363.0,2675.679932,3890.9399409999996,712.869995,7357.5,1943.459961
2009-03-05,13523.0,2569.6298829999996,3695.48999,682.549988,7025.899901999999,1852.25
2009-03-06,12895.0,2534.449951,3666.4099119999996,683.380005,6936.899901999999,1817.2399899999998
2009-03-09,12621.0,2519.290039,3692.030029,676.530029,6817.399901999999,1809.97998
2009-03-10,13503.0,2663.679932,3886.9799799999996,719.599976,7153.299805,1919.530029
2009-03-11,13568.0,2674.199951,3914.100098,721.3599849999999,7204.700195,1932.790039
2009-03-12,13921.0,2694.25,3956.219971,750.73999,7340.5,1962.640015
2009-03-13,13804.0,2705.6298829999996,3953.600098,756.549988,7427.799805,1969.52002
2009-03-16,14158.0,2791.659912,4044.540039,753.8900150000001,7636.899901999999,2033.719971
2009-03-17,14082.0,2767.280029,3987.7700200000004,778.119995,7645.299805,2012.25
2009-03-18,14473.0,2760.340088,3996.320068,794.349976,7661.600098000001,2019.189941
2009-03-19,14749.0,2776.98999,4043.459961,784.039978,7701.600098000001,2039.5799559999998
2009-03-20,14948.0,2791.139893,4068.73999,768.539978,7710.0,2050.959961
2009-03-23,15811.0,2869.570068,4176.370117,822.919983,7952.299805,2121.719971
2009-03-24,15837.0,2874.389893,4187.359863000001,806.119995,7989.5,2127.3701170000004
2009-03-25,16263.0,2893.449951,4223.290039,813.880005,8072.399901999999,2149.179932
2009-03-26,16483.0,2892.070068,4259.370117,832.8599849999999,8076.200195,2156.969971
2009-03-27,16343.0,2840.6201170000004,4203.549805,815.9400019999999,7927.600098000001,2118.76001
2009-03-30,15269.0,2719.340088,3989.2299799999996,787.530029,7601.100098000001,2010.609985
2009-03-31,15875.0,2807.340088,4084.76001,797.869995,7815.0,2071.1298829999996
2009-04-01,16047.0,2839.610107,4131.069824,811.080017,7961.0,2097.570068
2009-04-02,16811.0,2992.060059,4381.919922,834.380005,8334.700195,2216.48999
2009-04-03,16900.0,2958.73999,4384.990234000001,842.5,8319.900391,2198.75
2009-04-06,16690.0,2929.75,4349.810059,835.47998,8321.099609,2179.72998
2009-04-07,16561.0,2902.310059,4322.5,815.549988,8346.0,2165.560059
2009-04-08,16939.0,2921.060059,4357.919922,825.159973,8404.700195,2186.790039
2009-04-09,17408.0,2974.179932,4491.120117,856.5599980000001,8704.799805,2247.889893
2009-04-10,17408.0,2974.179932,4491.120117,856.5599980000001,8704.799805,2247.889893
2009-04-13,17408.0,2974.179932,4491.120117,858.7299800000001,8704.799805,2247.889893
2009-04-14,17816.0,3000.219971,4557.009765999999,841.5,8834.799805,2278.649902
2009-04-15,17811.0,2985.73999,4549.790039,852.0599980000001,8711.900391,2262.959961
2009-04-16,18154.0,3038.179932,4609.459961,865.2999880000001,8874.5,2300.51001
2009-04-17,18510.0,3091.959961,4676.839844,869.599976,9030.900391,2341.149902
2009-04-20,17731.0,2969.399902,4486.299805,832.3900150000001,8718.200195,2249.439941
