Date,ON,3M,6M,12M
03/11/2010,0.55375,0.73913,1.02750,1.47913
04/11/2010,0.55375,0.73913,1.02875,1.47938
05/11/2010,0.55250,0.73913,1.02875,1.47938
08/11/2010,0.55250,0.73850,1.02938,1.48038
09/11/2010,0.55250,0.73913,1.02938,1.48038
10/11/2010,0.55250,0.73850,1.02813,1.48038
11/11/2010,0.55250,0.73913,1.02938,1.48500
12/11/2010,0.55250,0.73913,1.03063,1.48500
15/11/2010,0.55250,0.73750,1.03000,1.48500
16/11/2010,0.55250,0.73750,1.03125,1.48625
17/11/2010,0.55250,0.73875,1.03250,1.48750
18/11/2010,0.55250,0.74000,1.03250,1.48750
19/11/2010,0.55250,0.74000,1.03313,1.48688
22/11/2010,0.55313,0.74000,1.03125,1.48688
23/11/2010,0.55313,0.73875,1.03000,1.48563
24/11/2010,0.55313,0.73875,1.02875,1.48438
25/11/2010,0.55313,0.73750,1.03000,1.48563
26/11/2010,0.55313,0.73875,1.03000,1.48563
29/11/2010,0.55313,0.73875,1.03125,1.48688
30/11/2010,0.55313,0.73875,1.03250,1.48813
01/12/2010,0.55563,0.74125,1.03625,1.49188
02/12/2010,0.55563,0.74250,1.03750,1.49313
03/12/2010,0.55563,0.74375,1.03938,1.49500
06/12/2010,0.55563,0.74375,1.04063,1.49625
07/12/2010,0.55563,0.74375,1.04063,1.49625
08/12/2010,0.55563,0.74375,1.04063,1.49625
09/12/2010,0.55625,0.74500,1.04125,1.49688
10/12/2010,0.55625,0.74500,1.04125,1.49688
13/12/2010,0.55625,0.74750,1.04250,1.49750
14/12/2010,0.55500,0.74750,1.04438,1.50000
15/12/2010,0.55500,0.74938,1.04625,1.50125
16/12/2010,0.55500,0.75000,1.04688,1.50313
17/12/2010,0.55500,0.75125,1.04688,1.50438
20/12/2010,0.55500,0.75188,1.04688,1.50438
21/12/2010,0.55500,0.75250,1.04688,1.50563
22/12/2010,0.55500,0.75438,1.04813,1.50813
23/12/2010,0.55500,0.75438,1.04813,1.50813
24/12/2010,0.55500,0.75438,1.04813,1.50813
29/12/2010,0.55750,0.75563,1.04938,1.50938
30/12/2010,0.55875,0.75750,1.05125,1.50938
31/12/2010,0.56500,0.75750,1.05000,1.50938
04/01/2011,0.55938,0.75750,1.05188,1.51000
05/01/2011,0.55813,0.76000,1.05188,1.51000
06/01/2011,0.55813,0.76000,1.05438,1.51250
07/01/2011,0.55813,0.76063,1.05438,1.51250
10/01/2011,0.55813,0.76563,1.06063,1.51813
11/01/2011,0.55813,0.76688,1.06063,1.51850
12/01/2011,0.55813,0.76688,1.06375,1.51938
13/01/2011,0.55813,0.76688,1.06375,1.51938
14/01/2011,0.55813,0.76750,1.06813,1.52475
