Date,ON,3M,6M,12M
01/12/2008,2.92500,3.81600,3.85900,3.92100
02/12/2008,2.90000,3.78600,3.82800,3.89600
03/12/2008,2.90375,3.74300,3.78700,3.85300
04/12/2008,2.89000,3.66900,3.71000,3.77700
05/12/2008,2.87250,3.56300,3.62400,3.70000
08/12/2008,2.86500,3.48800,3.56300,3.66100
09/12/2008,2.94000,3.42800,3.51400,3.61000
10/12/2008,2.32500,3.37600,3.46600,3.56300
11/12/2008,2.27750,3.32900,3.41700,3.51300
12/12/2008,2.27500,3.28200,3.36900,3.47000
15/12/2008,2.24375,3.24300,3.33400,3.43100
16/12/2008,2.20375,3.20400,3.29800,3.39500
17/12/2008,2.19500,3.15500,3.24300,3.33300
18/12/2008,2.16250,3.12500,3.20200,3.29000
19/12/2008,2.13500,3.08200,3.16500,3.25700
22/12/2008,2.14250,3.05300,3.13200,3.22700
23/12/2008,2.11500,3.01900,3.09200,3.18500
24/12/2008,2.17750,2.99100,3.06100,3.15000
29/12/2008,2.14375,2.97300,3.03700,3.12600
30/12/2008,2.12500,2.92800,3.00000,3.08500
31/12/2008,2.20750,2.89200,2.97100,3.04900
02/01/2009,2.14250,2.85900,2.94500,3.02500
05/01/2009,2.11375,2.82200,2.91300,2.99500
06/01/2009,2.10625,2.79700,2.88200,2.95900
07/01/2009,2.10000,2.76200,2.84500,2.92400
08/01/2009,2.09000,2.72900,2.81100,2.88200
09/01/2009,2.07125,2.69200,2.76500,2.83400
12/01/2009,2.07000,2.65300,2.71600,2.78200
13/01/2009,2.06250,2.61200,2.67100,2.73800
14/01/2009,2.05875,2.57200,2.63100,2.70000
15/01/2009,2.04875,2.51000,2.57200,2.65100
16/01/2009,2.03625,2.45300,2.53100,2.61500
19/01/2009,2.03625,2.41000,2.48700,2.57200
20/01/2009,2.07750,2.37000,2.44700,2.53100
21/01/2009,1.40625,2.31200,2.39000,2.47400
22/01/2009,1.14375,2.25400,2.34100,2.42600
23/01/2009,1.12500,2.19900,2.29400,2.37900
26/01/2009,1.11500,2.14900,2.25200,2.34700
27/01/2009,1.11125,2.13000,2.23900,2.33500
28/01/2009,1.10125,2.11500,2.21400,2.31800
29/01/2009,1.12125,2.10100,2.19400,2.29400
30/01/2009,1.17500,2.08600,2.17600,2.27300
02/02/2009,1.12750,2.07700,2.16200,2.25900
03/02/2009,1.12500,2.06400,2.15300,2.24600
04/02/2009,1.11750,2.05300,2.14300,2.23600
05/02/2009,1.11625,2.03900,2.12700,2.22300
06/02/2009,1.12125,2.02200,2.10800,2.20900
09/02/2009,1.11750,2.00500,2.08600,2.19200
10/02/2009,1.21125,1.98900,2.06900,2.17700
11/02/2009,1.17375,1.97500,2.05400,2.16500
12/02/2009,1.15875,1.95900,2.03600,2.14600
13/02/2009,1.14500,1.94300,2.02500,2.13300
16/02/2009,1.13125,1.92700,2.01300,2.11800
17/02/2009,1.14375,1.91200,1.99700,2.09600
18/02/2009,1.14750,1.90000,1.98600,2.08300
19/02/2009,1.18250,1.88800,1.98200,2.08500
20/02/2009,1.17750,1.87500,1.97600,2.07400
23/02/2009,1.18875,1.86700,1.97500,2.07400
24/02/2009,1.19125,1.85800,1.96300,2.06200
25/02/2009,1.18250,1.84800,1.95100,2.05400
26/02/2009,1.19250,1.83500,1.94200,2.04300
27/02/2009,1.25000,1.82500,1.93300,2.03300
02/03/2009,1.19125,1.81100,1.91900,2.02500
03/03/2009,1.19375,1.79900,1.89900,2.00600
04/03/2009,1.20000,1.77800,1.88400,1.99300
05/03/2009,1.19375,1.75700,1.86900,1.98100
06/03/2009,1.18688,1.72600,1.84200,1.95700
09/03/2009,1.17375,1.70300,1.82500,1.94700
10/03/2009,1.21375,1.68700,1.81700,1.93900
11/03/2009,0.77375,1.66300,1.80000,1.93200
12/03/2009,0.79000,1.65000,1.79000,1.93100
13/03/2009,0.78688,1.64000,1.78000,1.92300
16/03/2009,0.77938,1.62900,1.77400,1.91900
17/03/2009,0.77875,1.61400,1.76300,1.90900
18/03/2009,0.80250,1.60200,1.75200,1.90100
19/03/2009,0.80375,1.58400,1.73400,1.87700
20/03/2009,0.81625,1.57400,1.72300,1.86600
23/03/2009,0.83438,1.56000,1.71200,1.85700
24/03/2009,0.86750,1.55600,1.70900,1.85700
25/03/2009,0.87625,1.54800,1.70500,1.85300
26/03/2009,0.87375,1.53800,1.70000,1.84900
27/03/2009,0.88500,1.53100,1.69300,1.83800
30/03/2009,0.91625,1.52000,1.68000,1.82400
31/03/2009,1.31750,1.51000,1.67000,1.81200
01/04/2009,0.87250,1.49800,1.65600,1.80100
02/04/2009,0.85625,1.48300,1.64600,1.79100
03/04/2009,0.80625,1.47900,1.65300,1.80400
06/04/2009,0.76125,1.46600,1.64400,1.80200
07/04/2009,0.79875,1.45300,1.63200,1.79600
08/04/2009,0.77250,1.44500,1.62400,1.78500
09/04/2009,0.84125,1.43500,1.61800,1.78200
14/04/2009,0.79875,1.42300,1.60900,1.77400
15/04/2009,0.79500,1.41500,1.60200,1.76800
16/04/2009,0.82875,1.41000,1.59700,1.76200
17/04/2009,0.86375,1.40500,1.59500,1.76100
20/04/2009,0.85875,1.40500,1.59900,1.76800
21/04/2009,0.85000,1.40500,1.60000,1.76800
22/04/2009,0.84625,1.40500,1.60000,1.76600
23/04/2009,0.79875,1.40600,1.60000,1.76900
24/04/2009,0.61000,1.40000,1.59300,1.76400
27/04/2009,0.53625,1.39200,1.58800,1.75400
28/04/2009,0.49750,1.38400,1.57900,1.74300
29/04/2009,0.47125,1.37200,1.56900,1.73400
30/04/2009,0.49750,1.36500,1.56200,1.72800
04/05/2009,0.48125,1.35400,1.55300,1.71800
05/05/2009,0.46750,1.34400,1.54300,1.71000
06/05/2009,0.45500,1.33400,1.53400,1.70400
07/05/2009,0.44000,1.32700,1.52700,1.69900
08/05/2009,0.42625,1.31300,1.50700,1.67600
11/05/2009,0.41125,1.29900,1.49100,1.65500
12/05/2009,0.72500,1.29100,1.48600,1.64700
13/05/2009,0.59125,1.28100,1.47900,1.63600
14/05/2009,0.55750,1.26600,1.46500,1.62300
15/05/2009,0.54750,1.25000,1.45300,1.61000
18/05/2009,0.56375,1.24400,1.44200,1.60200
19/05/2009,0.63625,1.23700,1.43400,1.59500
20/05/2009,0.83625,1.24400,1.44300,1.60600
21/05/2009,0.93750,1.25200,1.45100,1.61300
22/05/2009,0.93125,1.25900,1.45700,1.62200
25/05/2009,0.99375,1.26400,1.46400,1.63100
26/05/2009,0.97750,1.26600,1.46700,1.63200
27/05/2009,0.90750,1.27000,1.47100,1.63800
28/05/2009,0.85250,1.27000,1.47300,1.64100
29/05/2009,0.82500,1.26900,1.46500,1.63100
01/06/2009,0.70375,1.26600,1.46400,1.62600
02/06/2009,0.62000,1.26200,1.46100,1.62400
03/06/2009,0.54125,1.26000,1.45500,1.61500
04/06/2009,0.54750,1.26000,1.45700,1.62100
05/06/2009,0.54125,1.26800,1.46800,1.64300
08/06/2009,0.50000,1.28100,1.48700,1.67200
09/06/2009,0.78750,1.28600,1.49000,1.67500
10/06/2009,0.79375,1.28300,1.48800,1.67200
11/06/2009,0.79000,1.27700,1.48400,1.66600
12/06/2009,0.75875,1.26800,1.47800,1.65900
15/06/2009,0.76625,1.26000,1.47200,1.64900
16/06/2009,0.80250,1.25200,1.46500,1.63800
17/06/2009,0.80250,1.24400,1.45700,1.62900
18/06/2009,0.78750,1.23500,1.44900,1.61900
19/06/2009,0.74875,1.22400,1.43800,1.60900
22/06/2009,0.72000,1.21500,1.42800,1.59700
23/06/2009,0.68500,1.20600,1.41600,1.58500
24/06/2009,1.27500,1.19500,1.40400,1.57000
25/06/2009,0.34625,1.14500,1.35400,1.53200
26/06/2009,0.31000,1.12000,1.33400,1.51500
29/06/2009,0.28938,1.10800,1.32200,1.51000
30/06/2009,0.30875,1.09900,1.31300,1.50400
01/07/2009,0.27313,1.08500,1.30300,1.49700
02/07/2009,0.27250,1.07200,1.29100,1.48600
03/07/2009,0.26625,1.05900,1.27700,1.46800
06/07/2009,0.27250,1.04800,1.26800,1.45600
07/07/2009,0.43250,1.04400,1.26100,1.45200
08/07/2009,0.28125,1.02900,1.24900,1.44000
09/07/2009,0.26500,1.01800,1.24100,1.43600
10/07/2009,0.26875,1.00700,1.23600,1.43300
13/07/2009,0.27625,0.99600,1.22900,1.42600
14/07/2009,0.27500,0.98500,1.22500,1.41900
15/07/2009,0.28063,0.97900,1.22000,1.41300
16/07/2009,0.28313,0.96900,1.21400,1.40900
17/07/2009,0.27313,0.95400,1.20200,1.39500
20/07/2009,0.27688,0.94400,1.19400,1.38900
21/07/2009,0.27438,0.93700,1.18800,1.38200
