,FSTEMIB,CAC 40,DAX,IBEX,SX5E
08/11/2012,15194.099609,3407.679932,7204.959961,7624.100098000001,2479.1298829999996
09/11/2012,15181.0,3423.570068,7163.5,7636.600098000001,2479.820068
12/11/2012,15121.700195,3411.649902,7168.759765999999,7567.799805,2473.52002
13/11/2012,15333.200195,3430.600098,7169.120117,7693.399901999999,2493.139893
14/11/2012,15252.900391,3400.0200200000004,7101.919922,7673.0,2472.840088
15/11/2012,15162.799805,3382.399902,7043.419922,7695.5,2461.77002
16/11/2012,14855.799805,3341.52002,6950.529785,7588.200195,2427.320068
19/11/2012,15309.0,3439.580078,7123.839844,7763.799805,2495.209961
20/11/2012,15270.0,3462.0600590000004,7172.990234000001,7778.700195,2509.6201170000004
21/11/2012,15394.599609,3477.360107,7184.709961,7805.399901999999,2519.679932
22/11/2012,15553.599609,3498.219971,7244.990234000001,7875.600098000001,2535.090088
23/11/2012,15635.900391,3528.8000490000004,7309.129883,7909.600098000001,2557.030029
26/11/2012,15520.099609,3500.9399409999996,7292.029785,7874.799805,2542.52002
27/11/2012,15479.799805,3502.1298829999996,7332.330078,7863.700195,2543.449951
28/11/2012,15453.400391,3515.1899409999996,7343.410156,7837.600098000001,2546.840088
29/11/2012,15888.0,3568.8798829999996,7400.959961,7973.700195,2581.689941
30/11/2012,15808.200195,3557.280029,7405.5,7934.600098000001,2575.25
03/12/2012,15876.099609,3566.5900880000004,7435.209961,7889.200195,2582.360107
04/12/2012,16041.5,3580.4799799999996,7435.120117,7902.399901999999,2590.830078
05/12/2012,15954.400391,3590.5,7454.549805,7883.200195,2592.090088
06/12/2012,15835.200195,3601.649902,7534.540039,7910.799805,2603.409912
07/12/2012,15699.200195,3605.610107,7517.799805,7848.5,2601.3701170000004
10/12/2012,15354.0,3612.100098,7530.919922,7804.399901999999,2596.02002
11/12/2012,15585.599609,3646.149902,7589.75,7920.899901999999,2624.030029
12/12/2012,15765.0,3646.6599119999996,7614.790039,7986.799805,2630.340088
13/12/2012,15866.299805,3643.1298829999996,7581.97998,8017.100098000001,2627.659912
14/12/2012,15908.099609,3643.280029,7596.470215,8024.100098000001,2630.540039
17/12/2012,16004.700195,3638.100098,7604.939941,8040.299805,2628.01001
18/12/2012,16155.099609,3648.6298829999996,7653.580078,8168.799805,2643.5
19/12/2012,16332.5,3664.5900880000004,7668.5,8264.200195,2654.689941
20/12/2012,16399.400391,3666.7299799999996,7672.100098000001,8264.200195,2658.300049
21/12/2012,16334.0,3661.399902,7636.22998,8291.0,2651.090088
24/12/2012,16334.0,3661.399902,7636.22998,8299.5,2651.090088
25/12/2012,16334.0,3661.399902,7636.22998,8299.5,2651.090088
26/12/2012,16334.0,3661.399902,7636.22998,8299.5,2651.090088
27/12/2012,16408.300781,3674.26001,7655.879883,8280.900391,2659.949951
28/12/2012,16273.400391,3620.25,7612.390137,8131.0,2626.850098
31/12/2012,16273.400391,3620.25,7612.390137,8167.5,2626.850098
01/01/2013,16273.400391,3620.25,7612.390137,8167.5,2626.850098
02/01/2013,16893.400391,3733.929932,7778.779785,8447.599609,2626.850098
03/01/2013,16909.800781,3721.169922,7756.439941,8403.400391,2701.219971
04/01/2013,16959.800781,3730.0200200000004,7776.370117,8435.799805,2709.350098
07/01/2013,16895.699219,3704.639893,7732.660156,8419.0,2695.560059
08/01/2013,16951.099609,3705.8798829999996,7695.830078,8453.0,2691.449951
09/01/2013,17326.300781,3717.4499509999996,7720.470215,8606.400391,2706.389893
10/01/2013,17451.099609,3703.1201170000004,7708.470215,8618.900391,2708.27002
11/01/2013,17502.400391,3706.0200200000004,7715.529785,8664.700195,2717.790039
14/01/2013,17391.199219,3708.25,7729.52002,8632.099609,2715.159912
15/01/2013,17467.5,3697.350098,7675.910156,8601.0,2701.590088
16/01/2013,17339.900391,3708.48999,7691.129883,8581.099609,2702.540039
17/01/2013,17587.300781,3744.110107,7735.459961,8628.900391,2718.929932
18/01/2013,17554.099609,3741.580078,7702.22998,8604.0,2709.590088
21/01/2013,17632.0,3763.030029,7748.859863,8665.900391,2726.6298829999996
22/01/2013,17715.900391,3741.01001,7696.209961,8632.099609,2716.699951
23/01/2013,17579.0,3726.169922,7707.540039,8613.299805,2708.280029
24/01/2013,17756.599609,3752.169922,7748.129883,8665.599609,2722.959961
25/01/2013,17726.900391,3778.1599119999996,7857.970215,8724.599609,2744.179932
28/01/2013,17897.400391,3780.889893,7833.0,8672.5,2744.5
29/01/2013,17891.900391,3785.820068,7848.569823999999,8643.0,2749.27002
30/01/2013,17289.900391,3765.5200200000004,7811.310059,8571.900391,2732.1201170000004
31/01/2013,17439.099609,3732.600098,7776.049805,8362.299805,2702.97998
01/02/2013,17318.900391,3773.530029,7833.390137,8229.700195,2710.080078
04/02/2013,16539.0,3659.9099119999996,7638.22998,7919.600098000001,2625.169922
05/02/2013,16712.300781,3694.6999509999996,7664.660156,8093.600098000001,2651.209961
06/02/2013,16602.800781,3642.899902,7581.180176000001,8056.200195,2617.350098
07/02/2013,16400.599609,3601.0500490000004,7590.850098000001,8014.600098000001,2597.919922
08/02/2013,16630.5,3649.5,7652.140137,8174.899901999999,2630.300049
11/02/2013,16529.900391,3650.580078,7633.740234000001,8078.600098000001,2622.610107
12/02/2013,16644.400391,3686.580078,7660.189941,8234.700195,2648.830078
13/02/2013,16712.199219,3698.530029,7711.890137,8306.200195,2656.860107
14/02/2013,16544.900391,3669.600098,7631.189941,8247.400391,2635.350098
15/02/2013,16489.800781,3660.3701170000004,7593.509765999999,8150.200195,2615.26001
18/02/2013,16406.0,3667.040039,7628.72998,8108.899901999999,2616.649902
19/02/2013,16664.400391,3735.820068,7752.450195,8225.299805,2662.3701170000004
20/02/2013,16527.5,3709.8798829999996,7728.899901999999,8163.0,2640.350098
21/02/2013,16009.5,3624.8000490000004,7583.569823999999,8014.5,2579.76001
22/02/2013,16233.299805,3706.280029,7661.910156,8179.0,2630.050049
25/02/2013,16352.0,3721.330078,7773.189941,8244.5,2651.860107
26/02/2013,15552.200195,3621.919922,7597.109863,7980.700195,2570.52002
27/02/2013,15827.0,3691.48999,7675.830078,8136.700195,2611.889893
28/02/2013,15921.200195,3723.0,7741.700195,8230.299805,2633.550049
01/03/2013,15675.400391,3699.9099119999996,7708.160156,8187.100098000001,2616.75
04/03/2013,15542.200195,3709.76001,7691.680176000001,8246.299805,2619.780029
05/03/2013,15974.299805,3787.1899409999996,7870.310059,8423.299805,2683.02002
06/03/2013,15899.700195,3773.76001,7919.330078,8358.900391,2679.889893
07/03/2013,15947.200195,3793.780029,7939.77002,8389.099609,2690.850098
08/03/2013,16204.0,3840.149902,7986.470215,8628.099609,2728.780029
11/03/2013,16092.0,3836.2700200000004,7984.290039,8554.400391,2718.709961
12/03/2013,16024.0,3839.969971,7966.120117,8532.299805,2711.850098
13/03/2013,15745.299805,3836.040039,7970.910156,8498.299805,2704.72998
14/03/2013,16131.0,3871.580078,8058.370117,8657.900391,2744.699951
15/03/2013,16061.200195,3844.030029,8042.850098000001,8619.099609,2725.719971
18/03/2013,15924.099609,3825.469971,8010.700195,8507.799805,2705.469971
19/03/2013,15670.599609,3775.75,7947.790039,8321.0,2671.959961
20/03/2013,16016.0,3829.5600590000004,8001.970215,8416.299805,2708.899902
21/03/2013,15936.0,3774.850098,7932.509765999999,8351.200195,2683.919922
22/03/2013,16045.5,3770.290039,7911.350098000001,8329.5,2681.669922
25/03/2013,15644.400391,3727.9799799999996,7870.899901999999,8140.600098000001,2649.280029
26/03/2013,15495.900391,3748.639893,7879.669922,7990.5,2641.1201170000004
27/03/2013,15353.799805,3711.639893,7789.089844,7900.399901999999,2612.459961
28/03/2013,15338.700195,3731.419922,7795.310059,7920.0,2624.02002
29/03/2013,15338.700195,3731.419922,7795.310059,7920.0,2624.02002
01/04/2013,15338.700195,3731.419922,7795.310059,7920.0,2624.02002
02/04/2013,15555.0,3805.3701170000004,7943.870117,8050.399901999999,2679.800049
03/04/2013,15200.299805,3754.959961,7874.75,7904.299805,2639.01001
04/04/2013,15154.0,3726.1599119999996,7817.390137,7847.899901999999,2621.429932
05/04/2013,15250.400391,3663.4799799999996,7658.75,7798.399901999999,2585.280029
08/04/2013,15243.400391,3666.780029,7662.640137,7787.100098000001,2589.25
09/04/2013,15436.099609,3670.719971,7637.509765999999,7872.5,2595.1298829999996
10/04/2013,15928.599609,3743.709961,7810.629883,8136.399901999999,2661.6201170000004
11/04/2013,16020.900391,3775.6599119999996,7871.629883,8159.5,2674.330078
12/04/2013,15780.099609,3729.3000490000004,7744.77002,8040.399901999999,2633.469971
15/04/2013,15629.0,3710.4799799999996,7712.629883,8014.100098000001,2624.709961
16/04/2013,15533.0,3685.790039,7682.580078,7948.700195,2609.300049
17/04/2013,15383.799805,3599.2299799999996,7503.029785,7803.0,2553.48999
18/04/2013,15480.599609,3599.360107,7473.72998,7812.5,2555.5
19/04/2013,15760.799805,3651.959961,7459.959961,7915.5,2575.159912
22/04/2013,16021.700195,3652.1298829999996,7478.109863,8027.700195,2583.6201170000004
23/04/2013,16490.800781,3783.0500490000004,7658.209961,8289.299805,2662.8798829999996
24/04/2013,16563.400391,3842.9399409999996,7759.029785,8389.299805,2702.050049
25/04/2013,16649.800781,3840.469971,7832.859863,8365.099609,2704.409912
26/04/2013,16565.199219,3810.0500490000004,7814.759765999999,8297.0,2683.429932
29/04/2013,16929.699219,3868.679932,7873.5,8450.900391,2717.3798829999996
30/04/2013,16767.699219,3856.75,7913.709961,8419.0,2712.0
01/05/2013,16767.699219,3856.75,7913.709961,8419.0,2712.0
02/05/2013,16748.300781,3858.76001,7961.709961,8406.400391,2718.899902
03/05/2013,16922.300781,3912.9499509999996,8122.290039,8544.799805,2763.679932
06/05/2013,16863.0,3907.040039,8112.080078,8503.799805,2750.52002
07/05/2013,17121.900391,3921.320068,8181.779785,8544.0,2769.080078
08/05/2013,17255.599609,3956.280029,8249.709961,8597.0,2784.6201170000004
09/05/2013,17090.599609,3928.580078,8262.549805,8572.700195,2784.6201170000004
10/05/2013,17284.0,3953.830078,8278.589844,8544.5,2785.23999
13/05/2013,17171.5,3945.1999509999996,8279.290039,8457.799805,2777.389893
14/05/2013,17315.199219,3966.0600590000004,8339.110352,8474.599609,2795.6298829999996
15/05/2013,17493.0,3982.2299799999996,8362.419922,8582.5,2809.580078
16/05/2013,17544.0,3979.070068,8369.870117,8542.299805,2806.699951
17/05/2013,17604.599609,4001.2700200000004,8398.0,8582.400391,2817.98999
20/05/2013,17506.900391,4022.850098,8455.830078,8515.200195,2817.98999
21/05/2013,17427.5,4036.179932,8472.200195,8464.5,2821.649902
22/05/2013,17545.5,4051.110107,8530.889648,8462.400391,2835.01001
23/05/2013,17008.400391,3967.149902,8351.980469,8343.599609,2776.780029
24/05/2013,16896.800781,3956.790039,8305.320313,8264.599609,2764.290039
27/05/2013,17159.199219,3995.1599119999996,8383.299805,8363.599609,2795.0
28/05/2013,17519.800781,4050.5600590000004,8480.870117,8511.299805,2835.8701170000004
29/05/2013,17237.099609,3974.1201170000004,8336.580078,8441.700195,2786.540039
30/05/2013,17351.0,3996.3100590000004,8400.200195,8433.5,2799.199951
31/05/2013,17214.099609,3948.5900880000004,8348.839844,8320.599609,2769.639893
03/06/2013,17058.099609,3920.669922,8285.799805,8284.400391,2747.73999
04/06/2013,17135.5,3925.830078,8295.959961,8363.0,2755.699951
05/06/2013,16971.199219,3852.4399409999996,8196.179688,8290.700195,2709.330078
06/06/2013,16525.099609,3814.280029,8098.810059,8216.700195,2676.209961
07/06/2013,16691.099609,3872.5900880000004,8254.679688,8266.599609,2724.080078
10/06/2013,16556.300781,3864.360107,8307.69043,8227.400391,2719.399902
11/06/2013,16286.599609,3810.5600590000004,8222.459961,8089.299805,2683.199951
12/06/2013,16024.0,3793.6999509999996,8143.27002,8123.799805,2666.52002
13/06/2013,16116.299805,3797.9799799999996,8095.390137,8071.700195,2661.709961
14/06/2013,16152.900391,3805.1599119999996,8127.959961,8070.899901999999,2667.320068
17/06/2013,16194.099609,3863.6599119999996,8215.730469,8136.299805,2702.689941
18/06/2013,16197.900391,3860.5500490000004,8229.509766,8180.200195,2700.929932
19/06/2013,16045.5,3839.3400880000004,8197.080078,8098.299805,2683.97998
20/06/2013,15549.200195,3698.929932,7928.47998,7822.100098000001,2586.449951
21/06/2013,15254.799805,3658.040039,7789.240234000001,7700.200195,2549.47998
24/06/2013,15112.400391,3595.6298829999996,7692.450195,7553.200195,2511.830078
25/06/2013,15056.599609,3649.820068,7811.299805,7607.700195,2543.3701170000004
26/06/2013,15362.900391,3726.040039,7940.990234000001,7823.0,2602.810059
27/06/2013,15430.5,3762.1899409999996,7990.75,7844.399901999999,2619.860107
28/06/2013,15239.299805,3738.9099119999996,7959.220215,7762.700195,2602.590088
01/07/2013,15459.599609,3767.4799799999996,7983.919922,7907.100098000001,2622.6201170000004
02/07/2013,15365.700195,3742.570068,7910.77002,7886.600098000001,2603.199951
03/07/2013,15282.799805,3702.01001,7829.319823999999,7763.799805,2570.76001
04/07/2013,15808.200195,3809.3100590000004,7994.310059,8002.0,2646.540039
05/07/2013,15533.700195,3753.850098,7806.0,7868.399901999999,2596.01001
08/07/2013,15799.599609,3823.830078,7968.540039,8017.600098000001,2650.850098
09/07/2013,15790.5,3843.5600590000004,8057.75,8014.799805,2664.139893
10/07/2013,15677.299805,3840.530029,8066.47998,7995.0,2659.709961
11/07/2013,15677.299805,3868.9799799999996,8158.799805,8030.700195,2681.320068
12/07/2013,15430.599609,3855.0900880000004,8212.769531,7844.700195,2674.8701170000004
15/07/2013,15597.299805,3878.580078,8234.80957,7855.100098000001,2686.689941
16/07/2013,15530.0,3851.030029,8201.049805,7798.200195,2665.610107
17/07/2013,15695.0,3872.0200200000004,8254.719727,7812.700195,2681.8798829999996
18/07/2013,16053.599609,3927.790039,8337.089844,7957.299805,2717.98999
19/07/2013,16124.400391,3925.320068,8331.570313,7943.200195,2716.169922
22/07/2013,16233.5,3939.919922,8331.05957,7966.0,2725.399902
23/07/2013,16238.599609,3923.0900880000004,8314.230469,8073.700195,2722.899902
24/07/2013,16442.699219,3962.75,8379.110352,8192.5,2752.25
25/07/2013,16432.0,3956.0200200000004,8298.980469,8282.099609,2740.290039
26/07/2013,16421.5,3968.8400880000004,8244.910156,8353.599609,2741.959961
29/07/2013,16275.700195,3968.9099119999996,8259.030273,8376.099609,2741.72998
30/07/2013,16542.900391,3986.610107,8271.019531,8456.5,2759.209961
31/07/2013,16482.300781,3992.6899409999996,8275.969727,8433.400391,2768.149902
01/08/2013,16819.0,4042.7299799999996,8410.730469,8540.200195,2768.149902
02/08/2013,16779.199219,4045.649902,8406.94043,8574.0,2811.0
05/08/2013,16757.199219,4049.969971,8398.379883,8560.799805,2809.080078
