Date,EUR/USD,JPY/USD,GBP/USD
06/11/2013,1.3521,0.01013273,1.6081
07/11/2013,1.342,0.01021659,1.6077
08/11/2013,1.336,0.01008674,1.6006
11/11/2013,1.3408,0.01008013,1.5986
12/11/2013,1.3428,0.01003210,1.5897
13/11/2013,1.3462,0.01006289,1.6028
14/11/2013,1.346,0.01,1.6063
15/11/2013,1.3493,0.00998103,1.6116
18/11/2013,1.3497,0.01000890,1.6101
19/11/2013,1.3535,0.00998203,1.6121
20/11/2013,1.3426,0.01000400,1.6102
21/11/2013,1.3465,0.00989178,1.6168
22/11/2013,1.3548,0.00986971,1.6217
25/11/2013,1.3519,0.00985707,1.6155
26/11/2013,1.3569,0.00987391,1.6209
27/11/2013,1.3571,0.00979000,1.6272
28/11/2013,1.3601,0.00978071,1.6339
29/11/2013,1.3587,0.00976238,1.6365
02/12/2013,1.3537,0.00970713,1.6351
03/12/2013,1.3591,0.00977297,1.6392
04/12/2013,1.3585,0.00977995,1.6383
05/12/2013,1.3671,0.00982994,1.6334
06/12/2013,1.3702,0.00972100,1.6339
09/12/2013,1.3738,0.00968147,1.6428
10/12/2013,1.3765,0.00972951,1.6445
11/12/2013,1.3788,0.00975800,1.6381
12/12/2013,1.3745,0.00968026,1.6343
13/12/2013,1.3732,0.00969743,1.6286
16/12/2013,1.3764,0.00970779,1.6304
17/12/2013,1.3767,0.00974516,1.6269
18/12/2013,1.3696,0.00963298,1.6385
19/12/2013,1.3655,0.00959582,1.637
20/12/2013,1.3677,0.00961261,1.6341
23/12/2013,1.3693,0.00960836,1.635
24/12/2013,1.3675,0.00959048,1.6372
25/12/2013,1.3695,0.00958037,1.6298
26/12/2013,1.3692,0.00954763,1.6418
27/12/2013,1.374,0.00951293,1.6467
30/12/2013,1.3798,0.00951664,1.6506
31/12/2013,1.3774,0.00950118,1.6569
01/01/2014,1.3745,0.00950028,1.6543
02/01/2014,1.3655,0.00954735,1.6426
03/01/2014,1.3587,0.00954571,1.6411
06/01/2014,1.3634,0.00959554,1.6401
07/01/2014,1.3614,0.00956754,1.6407
08/01/2014,1.3581,0.00954653,1.6454
09/01/2014,1.3607,0.00954653,1.648
10/01/2014,1.3665,0.00960799,1.6481
13/01/2014,1.3668,0.00971439,1.6385
14/01/2014,1.3681,0.00959969,1.6442
15/01/2014,1.3604,0.00956361,1.6368
16/01/2014,1.3617,0.00958837,1.6357
17/01/2014,1.3524,0.00959048,1.6406
20/01/2014,1.3562,0.00960614,1.6423
21/01/2014,1.3558,0.00958478,1.647
22/01/2014,1.3548,0.00957854,1.658
23/01/2014,1.3694,0.00969274,1.663
24/01/2014,1.368,0.00978196,1.65
27/01/2014,1.3672,0.00973662,1.658
28/01/2014,1.3666,0.00972129,1.6578
29/01/2014,1.3661,0.00978981,1.6559
30/01/2014,1.355,0.00973586,1.6478
31/01/2014,1.3487,0.00979144,1.6434
03/02/2014,1.3531,0.00989971,1.6311
04/02/2014,1.3515,0.00983806,1.6324
05/02/2014,1.3531,0.00986329,1.6308
06/02/2014,1.3588,0.00979220,1.6321
07/02/2014,1.3638,0.00977736,1.6415
10/02/2014,1.3634,0.00978234,1.6399
11/02/2014,1.3637,0.00974506,1.645
12/02/2014,1.3592,0.00975895,1.6592
13/02/2014,1.368,0.00978167,1.6658
14/02/2014,1.3697,0.00981999,1.6746
17/02/2014,1.3708,0.00981739,1.6701
18/02/2014,1.3757,0.00977173,1.668
19/02/2014,1.3733,0.00978282,1.6689
20/02/2014,1.372,0.00977373,1.6654
21/02/2014,1.374,0.00975039,1.6638
24/02/2014,1.3734,0.00975943,1.6661
25/02/2014,1.3742,0.00979527,1.6675
26/02/2014,1.3685,0.00977135,1.6664
27/02/2014,1.3707,0.00979623,1.6681
28/02/2014,1.3806,0.00982578,1.6747
03/03/2014,1.3729,0.00986339,1.6654
04/03/2014,1.3738,0.00977880,1.667
05/03/2014,1.3732,0.00977708,1.672
06/03/2014,1.3859,0.00970421,1.6735
07/03/2014,1.3869,0.00968260,1.6722
10/03/2014,1.3869,0.00968616,1.6638
